iter	Logloss
0	0.573317171
1	0.5395262575
2	0.5302040549
3	0.5257853158
4	0.5231202263
5	0.5216952673
6	0.5202507026
7	0.5189520137
8	0.5177456814
9	0.5167829005
10	0.5159511632
11	0.5151662723
12	0.5144201834
13	0.5138542987
14	0.5132781522
15	0.5126508007
16	0.5120777181
17	0.5115767083
18	0.5111057873
19	0.5106693428
20	0.5101587423
21	0.5097490862
22	0.5092304125
23	0.5088718016
24	0.5084806685
25	0.5079557723
26	0.507452474
27	0.5070084618
28	0.5065101287
29	0.5060210977
30	0.5054756619
31	0.5049712888
32	0.5044721131
33	0.5040393771
34	0.5036265238
35	0.5031606231
36	0.5026616869
37	0.5021626189
38	0.5017053011
39	0.5012366235
40	0.5007817858
41	0.5003312745
42	0.4999457499
43	0.4995422319
44	0.4991266889
45	0.4986601502
46	0.4982096304
47	0.4978301071
48	0.4974469123
49	0.4970486561
50	0.4966239059
51	0.4961723127
52	0.4957509279
53	0.4953349282
54	0.4949554311
55	0.4946160439
56	0.4942375709
57	0.4938587061
58	0.4934067221
59	0.4929938594
60	0.4926114485
61	0.4922604015
62	0.4918651986
63	0.4914292812
64	0.4910605639
65	0.4907029141
66	0.4903200042
67	0.4898857462
68	0.4895176821
69	0.4891472104
70	0.4887290036
71	0.4883617078
72	0.4879978823
73	0.4876235867
74	0.4872254921
75	0.4868785665
76	0.4864604943
77	0.4861545824
78	0.4857823928
79	0.4853919193
80	0.4850013815
81	0.4846625717
82	0.4843280544
83	0.483969121
84	0.483582863
85	0.4832119869
86	0.4828836771
87	0.482485134
88	0.482160098
89	0.4818384185
90	0.4814475896
91	0.4810840556
92	0.4807038371
93	0.4803350382
94	0.4799782264
95	0.4796577914
96	0.4793653201
97	0.479026562
98	0.4786830398
99	0.4783543762
