iter	Passed	Remaining
0	829	82093
1	1461	71620
2	2202	71208
3	2877	69056
4	3616	68715
5	4209	65950
6	4886	64918
7	5494	63190
8	6116	61843
9	6711	60406
10	7335	59351
11	8008	58725
12	8612	57639
13	9386	57657
14	10032	56853
15	10713	56244
16	11379	55557
17	12001	54675
18	12534	53435
19	13180	52720
20	13802	51922
21	14337	50831
22	14948	50044
23	15618	49460
24	16355	49066
25	17062	48561
26	17699	47852
27	18271	46983
28	18863	46184
29	19593	45719
30	20201	44965
31	20839	44283
32	21332	43311
33	21943	42595
34	22537	41855
35	23152	41160
36	23746	40432
37	24450	39892
38	25112	39278
39	25708	38563
40	26299	37846
41	26933	37193
42	27569	36545
43	28108	35773
44	28673	35045
45	29365	34472
46	30019	33851
47	30592	33142
48	31290	32567
49	31895	31895
50	32541	31265
51	33219	30663
52	33782	29957
53	34439	29337
54	35143	28754
55	35712	28059
56	36308	27390
57	36960	26764
58	37750	26233
59	38413	25608
60	38953	24904
61	39604	24274
62	40261	23645
63	40889	23000
64	41406	22295
65	42008	21640
66	42601	20982
67	43237	20347
68	43759	19659
69	44383	19021
70	45120	18429
71	45687	17767
72	46230	17098
73	46801	16443
74	47527	15842
75	48195	15219
76	48933	14616
77	49498	13961
78	50182	13339
79	50900	12725
80	51627	12110
81	52252	11470
82	52951	10845
83	53575	10204
84	54252	9573
85	54827	8925
86	55270	8258
87	56045	7642
88	56646	7001
89	57230	6358
90	57850	5721
91	58499	5086
92	59117	4449
93	59840	3819
94	60468	3182
95	61187	2549
96	61704	1908
97	62309	1271
98	62903	635
99	63725	0
