top_critic,review_type,review_score,review_content
False,Fresh,B-,"This all winds up being mindless fun with a couple of over-the-top comedic performances from Jack Black and Jason Momoa as well as a fun, visually immersive world that really springs to life on the big screen."
False,Rotten,C-,"Based on the famous game, “A Minecraft Movie” attempts to recreate the message about the limitless power of imagination. [Full Review in Spanish]"
True,Rotten,1/5,"The villain, a piglin called Malgosha who hates creativity and is obsessed with hoarding wealth, provides an inadvertently neat allegory for the studio bosses who greenlit this egregious IP cash-in."
True,Fresh,4/5,"While it may not be a masterpiece, its sheer sense of fun make it an easy win for families looking for something to watch during the holidays."
False,Fresh,7/10,"While A Minecraft Movie doesn't seek to revolutionize cinema, it does demonstrate a clear understanding of its source material and how to exploit it to deliver a product that fulfills its purpose: providing a fun, enjoyable time."
False,Rotten,2.5/5,Not even the energetic comedy chemistry between Jack Black and Jason Momoa can makeup for the surprisingly uninspired story and pretty boring characters.
False,Fresh,3.5/5,"A noisy, funny, good-natured mess of a film."
False,Fresh,B-,"There are a few meta-gripes that could be made, but mostly A Minecraft Movie appears to faithfully serve its target audience."
False,Fresh,7/10,"""A Minecraft Movie"" is a broad, slapstick farce without a hint of seriousness, reverence, or coolness. The most shocking thing? It's not terrible. "
False,Rotten,2/4,"...A Minecraft Movie never finds its groove, constantly veering from one set-piece to another with a scattershot storyline and whiplash-inducing tone inconsistencies."
True,Rotten,2/4,the jumble of tones and styles laid atop this basic narrative feels like it’s trying to please everyone and ends up pleasing no one.
True,Fresh,B+,Just the right amount of newness and unpredictability is the true magic of Webb's Snow White.
False,Rotten,D+,The new songs are unmemorable and one of them is outright awful (Princess Problems).
False,Rotten,2.5/4,"Rachel Zegler is the best part of the live-action remake. Gal Gadot is a bit stiff, and the songs are hit-and-miss. The movie looks spectacular and is best suited for families with young kids."
False,Rotten,5/10,Somewhere between the animated version and the true life version the Disney magic was lost.
False,Fresh,3.5/5,"This remake, which admittedly has its own problems, improves on some of the issues in the original, mostly by making its main characters actual characters with depth and emotion and all the things that make them engaging and interesting."
False,Rotten,C,"It does the exactly what we want these remakes to do in expanding on its predecessor...there are some things to like, it just doesn't get there in execution."
False,Rotten,4/10,Disney is having an identity crisis that has trickled down to its ability to update its best-loved fairy tales into modern remakes.
False,Rotten,D,Disney has lost sight of why they started doing animation in the first place: because there's just some things you shouldn't do in live action.
False,Rotten,C-,Zegler is the only thing keeping Snow White from becoming the on-screen debacle that it already is off-screen. A colossal screw up at virtually every level.
True,Fresh,3/4,Action scenes pop up frequently enough to keep the most fidgety teen engaged.
True,Rotten,2.5/5,It feels as if Sam is merely the guest star in someone’s else story in this particular chapter of the MCU’s interwoven narrative.
False,Rotten,1.5/5,"The worst part about Captain America: Brave New World is that it merely exists. Apart from its nostalgic roots, this “new” direction is more of the same just with actors and characters that aren’t nearly as interesting as they think they are."
False,Fresh,3/4,"It tries a little too hard to get things moving in the first act, and it does feel fairly slight overall, a Minor Marvel. But for the majority of its running time, it soars, largely thanks to Anthony Mackie's potent presence."
False,Rotten,C,I had moderately high hopes with Iger back in the fold but this is a confounding experience from pitch to execution. There will likely be worse superhero movies this year but this will likely stand out as one of the more disappointing efforts.
False,Rotten,1/5,"As a major motion picture, CA:BNW is a non-entity, deceptively non-sensical in its spackled, empty-headed narrative. It's unclear what the film is attempting to say other than suggesting the necessity of embracing one's own strengths AND weaknesses."
False,Fresh,3/5,"Cap IV is a... hammer, good for little more than hitting things until all the things are hit. It is not about finesse, or sculpting something beautiful. It just hits, in unsubtle but effective ways, until all the nails have been hammered home."
False,Fresh,6.5/10,It is pretty entertaining – and also nice to see Mackie and Ford with roles they seem to enjoy – it’s also dangerously close in quality to being a direct to streaming viewing rather than a big family IMAX outing.
False,Rotten,D,There's no excuse for this to be this poorly executed.
False,Rotten,1.5/5,"A plot without something to say is directionless, and characters without a point of view are doomed to remain one-dimensional. The simple fact is, you can’t make a political thriller devoid of political commentary..."
True,Fresh,3/4,Young audiences will have fun following the likable characters and their perilous adventures.
True,Rotten,2.5/5,"The director keeps a firm if predictable hand on the tiller – the action scenes, such as lions trapped in that flooded river and an elephant stampede – are impressive but the script is limp."
False,Rotten,2/5,"The circle of life flatlines in this mundane, redundant Lion King prequel which sacrifices charm, heart, and comedy in the pursuit of vanguard visuals."
False,Rotten,1/5,The prequel to one of the most aesthetically barren major films of the last ten years was always going to have a pretty hard time being anything but aesthetically barren in its own right.
False,Rotten,6/10,"Please, PLEASE stop making entire sequels, prequels, remakes and reboots to 'address' things that only YouTube video essayists ever (sort-of) cared about a decade ago."
False,Fresh,C+,"The story is filled with romance and adventures on high cliffs, mountains, in caves, and in a far, fair land. It is in a form called photo realistic animation. It doesn't exactly look real, but it is close, thanks to state of the art digital animation."
False,Fresh,3/5,...the biggest letdown of the film is that it just brushes through the characters without exploring the emotional dynamics and depth. Barry Jenkins’ Mufasa is enjoyable but nowhere close to The Lion King.
False,Fresh,4/5,"The Hindi dub of Mufasa: The Lion King, at first flush, represents an improbable marriage. But it is one that is made in heaven."
False,Fresh,B,"I'm not a fan of these live action updates, but I really did like this one."
False,Fresh,3/5,"This addition to the Lion King franchise maintains a more than satisfactory standard in all its aspects, but at the same time it feels quite artificial and calculated."
True,Fresh,3/4,It’s this unembellished emotional simplicity that makes the continued tales of Paddington so wonderful. It is also what makes them essential.
True,Rotten,1/4,Dougal Wilson is not the problem. Rather it is the disastrous screenplay by three people who should know better.
False,Rotten,2/5,"Outside of Olivia Colman and Antonio Banderas' performances, I was not a fan. The Paddington character has actually gotten worse."
False,Fresh,4/5,I quite enjoyed this. It's not as fun or insane as Paddington 2 but there's enough charm here to make this an entertaining watch.
False,Fresh,6/10,"Threequels, ugh."
